GEOID,county_name,STATEFP,state_name,land_area_m2,electricity_price,dc_count,dc_total_sqft,has_dc,plant_count,renewable_mw_in_county,renewable_mw_within_50km,land_area_km2,population,pop_density,svi_score,water_stress_score
13027,Brooks,13,Georgia,1277341276,7.53,0,0.0,0,2,300.0,379.7,1277.341276,16344,12.795327534690893,0.9275,2.213066175
31095,Jefferson,31,Nebraska,1476765697,7.35,0,0.0,0,1,74.8,818.2,1476.765697,7136,4.832181580664113,0.2736,3.023474615
51683,Manassas,51,Virginia,25493247,9.35,5,881180.0,1,0,0.0,124.8,25.493247,43616,1710.8844550088108,0.4884,2.571924151
56021,Laramie,56,Wyoming,6956355036,8.3,18,21738866.0,1,6,503.6,503.6,6956.355036,101783,14.63165687680694,0.2514,3.551410826
13135,Gwinnett,13,Georgia,1116606767,7.53,4,2155213.0,1,0,0.0,108.5,1116.606767,1003869,899.0353897792561,0.6433,2.213066175
20001,Allen,20,Kansas,1295764235,7.85,0,0.0,0,1,199.3,698.7,1295.764235,12425,9.588935752652564,0.5854,2.297618488
27065,Kanabec,27,Minnesota,1350962864,9.17,0,0.0,0,0,0.0,5.0,1350.962864,16608,12.29345413006112,0.2612,2.265734205
28107,Panola,28,Mississippi,1774595233,7.47,0,0.0,0,3,13.1,197.6,1774.595233,32764,18.462801765003952,0.8626,1.536699191
31185,York,31,Nebraska,1482809124,7.35,0,0.0,0,0,0.0,8.5,1482.809124,14375,9.694437245720644,0.1359,3.023474615
42063,Indiana,42,Pennsylvania,2142939384,10.4,0,0.0,0,1,7.5,59.5,2142.939384,82953,38.70991434445539,0.4528,1.587865496
48327,Menard,48,Texas,2336237980,6.67,0,0.0,0,1,7.5,647.5,2336.23798,1911,0.8179817366037342,0.8606,2.702350866
29173,Ralls,29,Missouri,1216743024,7.85,0,0.0,0,1,27.0,228.5,1216.743024,10499,8.628773531394415,0.1168,1.120269944
48151,Fisher,48,Texas,2328272103,6.67,0,0.0,0,0,0.0,2656.1,2328.272103,3665,1.5741287263106465,0.4248,2.702350866
51183,Sussex,51,Virginia,1269679003,9.35,0,0.0,0,2,138.0,1099.9,1269.679003,10753,8.469069721238826,0.7385,2.571924151
47183,Weakley,47,Tennessee,1503107797,6.24,0,0.0,0,0,0.0,106.8,1503.107797,33162,22.06228992104683,0.608,1.466579709
26105,Mason,26,Michigan,1281963205,8.68,0,0.0,0,1,100.8,437.3,1281.963205,29093,22.69409908687668,0.3812,1.14906084
48159,Franklin,48,Texas,736569934,6.67,0,0.0,0,2,550.0,1719.5,736.569934,10912,14.814615009794847,0.3821,2.702350866
8075,Logan,8,Colorado,4761949507,8.83,0,0.0,0,17,842.4,842.4,4761.949507,20755,4.35850904540051,0.6004,4.034449106
22119,Webster,22,Louisiana,1536688180,5.96,0,0.0,0,0,0.0,0.0,1536.68818,35184,22.89599182053967,0.8775,1.220915842
31045,Dawes,31,Nebraska,3616756317,7.35,0,0.0,0,0,0.0,0.0,3616.756317,8003,2.2127562098621754,0.3156,3.023474615
51139,Page,51,Virginia,802941049,9.35,0,0.0,0,2,1.0,55.900000000000006,802.941049,23686,29.49905230215724,0.363,2.571924151
13161,Jeff Davis,13,Georgia,857075892,7.53,0,0.0,0,6,412.5,599.4,857.075892,15119,17.640211492496398,0.8785,2.213066175
18117,Orange,18,Indiana,1031795760,8.77,0,0.0,0,0,0.0,20.1,1031.79576,19824,19.213104733052983,0.5791,2.000430197
27015,Brown,27,Minnesota,1582765943,9.17,0,0.0,0,0,0.0,313.70000000000005,1582.765943,25710,16.243715701431412,0.1145,2.265734205
31079,Hall,31,Nebraska,1415507132,7.35,0,0.0,0,1,9.9,19.9,1415.507132,62869,44.41447067184399,0.7343,3.023474615
21223,Trimble,21,Kentucky,382723828,6.98,0,0.0,0,0,0.0,36.2,382.723828,8591,22.446995382790742,0.3633,1.357522577
55113,Sawyer,55,Wisconsin,3257170151,8.56,0,0.0,0,2,0.8,13.2,3257.170151,18835,5.78262698195775,0.3758,2.687620495
41027,Hood River,41,Oregon,1352455749,8.08,0,0.0,0,3,6.4,191.1,1352.455749,23764,17.5710000253768,0.7111,0.695813515
21169,Metcalfe,21,Kentucky,750193213,6.98,0,0.0,0,1,55.0,100.0,750.193213,10558,14.073707702284958,0.5453,1.357522577
26007,Alpena,26,Michigan,1481211409,8.68,0,0.0,0,3,3.8,3.8,1481.211409,28903,19.513082213911034,0.4165,1.14906084
19095,Iowa,19,Iowa,1518911690,6.4,0,0.0,0,1,252.5,574.0,1518.91169,16423,10.812346832356,0.0484,1.092299397
13061,Clay,13,Georgia,506093894,7.53,0,0.0,0,1,106.0,420.5,506.093894,2815,5.562208976186541,0.9061,2.213066175
18177,Wayne,18,Indiana,1040539369,8.77,0,0.0,0,9,47.9,905.8,1040.539369,66410,63.82266926029206,0.7515,2.000430197
29227,Worth,29,Missouri,690564983,7.85,0,0.0,0,0,0.0,245.10000000000005,690.564983,1872,2.710823812507157,0.2237,1.120269944
31157,Scotts Bluff,31,Nebraska,1915608705,7.35,0,0.0,0,1,4.4,4.4,1915.608705,35734,18.65412278965395,0.7356,3.023474615
39107,Mercer,39,Ohio,1197732213,9.33,0,0.0,0,1,4.0,581.0,1197.732213,42648,35.60729146056624,0.0223,1.54280606
1015,Calhoun,1,Alabama,1569248377,7.8,0,0.0,0,1,7.4,60.900000000000006,1569.248377,116427,74.19284397959903,0.8145,1.459984201
37095,Hyde,37,North Carolina,1585958032,7.91,0,0.0,0,1,2.0,2.0,1585.958032,4583,2.889735987667043,0.874,3.16900875
19019,Buchanan,19,Iowa,1479086684,6.4,0,0.0,0,0,0.0,308.40000000000003,1479.086684,20733,14.017434018086258,0.0655,1.092299397
27121,Pope,27,Minnesota,1747086641,9.17,0,0.0,0,18,24.0,139.4,1747.086641,11495,6.579524867421844,0.028,2.265734205
21181,Nicholas,21,Kentucky,505839859,6.98,0,0.0,0,0,0.0,8.5,505.839859,7816,15.451530481309897,0.4111,1.357522577
42053,Forest,42,Pennsylvania,1106595595,10.4,0,0.0,0,0,0.0,215.9,1106.595595,6601,5.965142125836856,0.5072,1.587865496
46077,Kingsbury,46,South Dakota,2155483577,8.45,0,0.0,0,0,0.0,0.0,2155.483577,5261,2.4407516049471623,0.1114,1.65456401
48375,Potter,48,Texas,2352718727,6.67,0,0.0,0,0,0.0,1131.5,2352.718727,114649,48.73043202499234,0.9889,2.702350866
48413,Schleicher,48,Texas,3394546068,6.67,0,0.0,0,2,349.5,522.3,3394.546068,2302,0.6781466369541107,0.5803,2.702350866
51580,Covington,51,Virginia,14163842,9.35,0,0.0,0,0,0.0,5.0,14.163842,5663,399.820896053486,0.3128,2.571924151
54063,Monroe,54,West Virginia,1224426771,8.07,0,0.0,0,0,0.0,0.0,1224.426771,12462,10.177823856156117,0.3901,1.475226642
48499,Wood,48,Texas,1671172293,6.67,0,0.0,0,0,0.0,309.0,1671.172293,48742,29.166352388777906,0.7655,2.702350866
18041,Fayette,18,Indiana,556901575,8.77,0,0.0,0,0,0.0,704.0,556.901575,23335,41.90147962860403,0.6293,2.000430197
28023,Clarke,28,Mississippi,1791173034,7.47,0,0.0,0,1,78.5,131.0,1791.173034,15155,8.460935773556315,0.8021,1.536699191
4023,Santa Cruz,4,Arizona,3201899628,7.22,0,0.0,0,1,6.0,10.1,3201.899628,50508,15.774385792208223,0.9383,4.423374934
