Plant Code,Plant Name,State,Latitude,Longitude,Energy Source,Nameplate Capacity (MW)
1,Sand Point,AK,55.339722,-160.497222,WND,0.5
2,Bankhead Dam,AL,33.458665,-87.356823,WAT,53.9
4,Walter Bouldin Dam,AL,32.583889,-86.283056,WAT,75.0
11,H Neely Henry Dam,AL,33.7845,-86.0524,WAT,24.3
12,Holt Dam,AL,33.2553,-87.4495,WAT,46.9
13,Jordan Dam,AL,32.6189,-86.2548,WAT,25.0
14,Logan Martin Dam,AL,33.425878,-86.337547,WAT,42.7
15,Lay Dam,AL,32.9633,-86.5187,WAT,29.5
16,Martin Dam,AL,32.680394,-85.911442,WAT,50.2
17,Mitchell Dam,AL,32.806025,-86.444892,WAT,20.0
18,Lewis Smith Dam,AL,33.9406,-87.1077,WAT,90.5
19,Thurlow Dam,AL,32.535436,-85.887614,WAT,40.5
20,Weiss Dam,AL,34.172142,-85.753806,WAT,29.2
21,Yates Dam,AL,32.5743,-85.8901,WAT,25.5
34,Rollins,CA,39.134259,-120.953341,WAT,12.1
38,Millers Ferry,AL,32.100881,-87.399767,WAT,33.7
48,Guntersville,AL,34.421272,-86.393931,WAT,28.8
49,Wheeler Dam,AL,34.8069,-87.3819,WAT,35.1
53,Gantt,AL,31.4033,-86.479469,WAT,1.2
55,Point A,AL,31.361146,-86.518307,WAT,1.6
62,Annex Creek,AK,58.3176,-134.101,WAT,1.8
63,Gold Creek,AK,58.3107,-134.4174,WAT,0.8
65,Salmon Creek 1,AK,58.3269,-134.4631,WAT,8.5
66,Skagway,AK,59.4545,-135.3131,WAT,0.4
70,Swan Lake,AK,55.615208,-131.356111,WAT,11.3
71,Terror Lake Microgrid,AK,57.6861,-152.895,WAT,11.2
72,Venice Hydro,CA,34.01135,-118.4168,WAT,10.1
77,Eklutna Hydro Project,AK,61.475211,-149.15009,WAT,22.2
78,Snettisham,AK,58.1415,-133.737,WAT,23.6
84,Ketchikan,AK,55.344641,-131.633425,WAT,1.4
88,Ashokan,NY,41.949,-74.2063,WAT,2.3
90,Snake River,AK,64.505331,-165.429814,WND,0.9
91,Petersburg,AK,56.81104,-132.957091,WAT,1.8
93,Blue Lake Hydro,AK,57.0516,-135.2297,WAT,5.3
100,South Consolidated,AZ,33.466477,-111.781064,WAT,1.4
104,J S Eastwood,CA,37.147926,-119.2567,WAT,199.8
141,Agua Fria,AZ,33.5561,-112.2153,SUN,0.2
143,Crosscut,AZ,33.439375,-111.946052,WAT,3.0
145,Horse Mesa,AZ,33.5907,-111.344,WAT,9.9
148,Mormon Flat,AZ,33.5536,-111.4431,WAT,9.2
149,Roosevelt,AZ,33.671104,-111.161786,WAT,36.0
150,Stewart Mountain,AZ,33.5661,-111.536,WAT,13.0
152,Davis Dam,AZ,35.197044,-114.570669,WAT,51.7
153,Glen Canyon Dam,AZ,36.936614,-111.483872,WAT,165.0
154,Hoover Dam (NV),NV,36.01551,-114.738006,WAT,2.4
159,Lake Creek Dam,UT,40.493631,-111.312506,WAT,1.5
161,Turlock Lake,CA,37.611461,-120.594678,WAT,1.1
162,Hickman,CA,37.621536,-120.746247,WAT,0.5
166,Carpenter,AR,34.4425,-93.0262,WAT,28.0
174,Remmel,AR,34.4272,-92.8941,WAT,3.0
180,Volta 2,CA,40.45193,-121.86215,WAT,1.0
182,Beaver Dam (AR),AR,36.421507,-93.847373,WAT,56.0
187,Degray,AR,34.211913,-93.110963,WAT,40.0
188,Greers Ferry Lake,AR,35.5207,-91.9953,WAT,48.0
195,Narrows (AR),AR,34.148427,-93.715168,WAT,8.5
196,Norfork,AR,36.2491,-92.2401,WAT,40.2
197,Blakely Mountain,AR,34.570984,-93.194425,WAT,37.5
198,Bull Shoals,AR,36.3635,-92.5763,WAT,40.0
199,Dardanelle,AR,35.2503,-93.1686,WAT,40.2
214,Alta Powerhouse,CA,39.215979,-120.80355,WAT,1.0
215,Angels,CA,38.071944,-120.539444,WAT,1.4
217,Balch 1,CA,36.909137,-119.087712,WAT,31.0
218,Balch 2,CA,36.908907,-119.087556,WAT,48.6
219,Belden,CA,40.007445,-121.249438,WAT,117.9
220,Bucks Creek,CA,39.91062,-121.327692,WAT,33.0
221,Butt Valley,CA,40.175656,-121.190663,WAT,40.0
222,Caribou 1,CA,40.085476,-121.148241,WAT,23.8
223,Caribou 2,CA,40.085997,-121.149373,WAT,60.3
224,Centerville PH,CA,39.788877,-121.657383,WAT,5.5
225,Chili Bar,CA,38.771764,-120.813239,WAT,8.3
227,Coleman PH,CA,40.404645,-122.121904,WAT,12.1
231,Cresta,CA,39.825907,-121.409687,WAT,36.9
232,De Sabla,CA,39.869265,-121.631819,WAT,18.4
233,Deer Creek PH,CA,39.29807,-120.8443,WAT,5.5
235,Drum 1,CA,39.256873,-120.767437,WAT,12.0
236,Drum 2,CA,39.257388,-120.767046,WAT,53.1
237,Dutch Flat,CA,39.216985,-120.835587,WAT,22.0
238,El Dorado,CA,38.793574,-120.619152,WAT,10.0
239,Electra,CA,38.330985,-120.669901,WAT,32.3
240,Haas,CA,36.927424,-119.02025,WAT,67.5
241,Halsey,CA,38.956985,-121.041932,WAT,13.6
242,Hamilton Branch,CA,40.268712,-121.089479,WAT,2.6
243,Hat Creek 1,CA,40.929297,-121.544462,WAT,10.0
244,Hat Creek 2,CA,40.960675,-121.548657,WAT,10.0
248,Inskip,CA,40.400988,-121.965502,WAT,7.6
249,James B Black,CA,40.992295,-121.975182,WAT,85.1
250,Kerckhoff,CA,37.092486,-119.552826,WAT,11.3
254,Kings River PH,CA,36.888166,-119.158777,WAT,48.6
258,Merced Falls,CA,37.52301,-120.329905,WAT,3.4
261,Murphys,CA,38.147093,-120.446396,WAT,3.6
262,Narrows PH,CA,39.2364,-121.271741,WAT,10.2
264,Phoenix,CA,38.032103,-120.326537,WAT,1.6
265,Pit 1,CA,40.99084,-121.498243,WAT,34.6
266,Pit 3,CA,40.997448,-121.748139,WAT,26.7
267,Pit 4,CA,40.986361,-121.84944,WAT,51.7
268,Pit 5,CA,40.986197,-121.977594,WAT,38.2
269,Pit 6,CA,40.922568,-121.992906,WAT,39.6
270,Pit 7,CA,40.847462,-121.990798,WAT,57.6
272,Poe,CA,39.722892,-121.469814,WAT,71.4
274,Potter Valley,CA,39.361786,-123.127934,WAT,4.4
275,Rock Creek,CA,39.90521,-121.345226,WAT,63.0
276,San Joaquin 2,CA,37.203233,-119.497508,WAT,2.8
277,San Joaquin 3,CA,37.253718,-119.519352,WAT,4.0
279,Salt Springs,CA,38.497914,-120.21811,WAT,12.3
280,South,CA,40.395396,-121.879186,WAT,6.7
281,Spaulding 1,CA,39.324613,-120.644807,WAT,7.0
282,Spaulding 2,CA,39.324592,-120.645375,WAT,3.7
283,Spaulding 3,CA,39.337679,-120.635467,WAT,6.6
284,Spring Gap,CA,38.18653,-120.11168,WAT,6.0
285,Stanislaus,CA,38.139048,-120.370325,WAT,81.9
287,Tiger Creek,CA,38.449291,-120.492645,WAT,25.5
289,Tule River,CA,36.163076,-118.707104,WAT,4.2
290,Volta 1,CA,40.459111,-121.86708,WAT,8.5
291,West Point PH,CA,38.420898,-120.549572,WAT,13.6
292,Wise,CA,38.889862,-121.098525,WAT,13.6
293,A G Wishon,CA,37.15105,-119.504724,WAT,3.2
296,Fall Creek,CA,41.985605,-122.360455,WAT,0.5
313,Green Lake,AK,56.986284,-135.12275,WAT,9.3
314,Drop 5 (CA),CA,32.673097,-115.392026,WAT,2.0
316,Sepulveda Canyon,CA,34.0969,-118.4795,WAT,8.5
317,Big Creek 1,CA,37.2042,-119.2396,WAT,19.8
318,Big Creek 2,CA,37.2,-119.3069,WAT,15.8
319,Big Creek 3,CA,37.148517,-119.386623,WAT,34.0
320,Big Creek 4,CA,37.139,-119.4898,WAT,50.0
321,Big Creek 8,CA,37.2096,-119.3289,WAT,30.0
322,Big Creek 2A,CA,37.200062,-119.30681,WAT,55.0
323,Bishop Creek 2,CA,37.273581,-118.573339,WAT,2.5
324,Bishop Creek 3,CA,37.301962,-118.531957,WAT,2.8
325,Bishop Creek 4,CA,37.323035,-118.501714,WAT,1.0
326,Bishop Creek 5,CA,37.3344,-118.4797,WAT,2.0
327,Bishop Creek 6,CA,37.3499,-118.4628,WAT,1.6
332,Fontana,CA,34.155162,-117.397119,WAT,1.5
336,Kaweah 2,CA,36.461326,-118.87988,WAT,1.8
337,Kaweah 1,CA,36.465066,-118.862023,WAT,2.3
338,Kaweah 3,CA,36.486059,-118.835645,WAT,2.4
339,Kern River 3,CA,35.776185,-118.436233,WAT,20.5
340,Kern River 1,CA,35.460303,-118.77959,WAT,6.6
342,Lundy,CA,38.042729,-119.172015,WAT,1.5
344,Mammoth Pool,CA,37.220302,-119.337983,WAT,95.0
353,Poole,CA,37.944237,-119.2161,WAT,11.3
354,Portal,CA,37.257045,-119.158936,WAT,10.8
357,Rush Creek,CA,37.766954,-119.123284,WAT,5.9
361,Santa Ana 1,CA,34.14522,-117.058481,WAT,0.8
363,Santa Ana 3,CA,34.107245,-117.099091,WAT,3.1
365,Lower Tule River,CA,36.13568,-118.788868,WAT,1.3
376,Pardee,CA,38.2569,-120.8507,WAT,7.5
378,Prairie River,MN,47.287206,-93.498266,WAT,0.7
380,Dion R Holm,CA,37.896649,-119.9675,WAT,90.1
381,Moccasin,CA,37.809388,-120.299254,WAT,45.0
382,R C Kirkwood,CA,37.877667,-119.953233,WAT,45.4
385,Drop 2 (CA),CA,32.705435,-115.030975,WAT,5.0
386,Drop 3 (CA),CA,32.705428,-115.126103,WAT,4.8
387,Drop 4,CA,32.705341,-115.219067,WAT,10.0
388,Pilot Knob,CA,32.736642,-114.713858,WAT,16.5
390,Solomon Gulch,AK,61.0828,-146.3033,WAT,6.0
391,Big Pine Creek,CA,37.142795,-118.324075,WAT,3.2
392,Castaic,CA,34.587237,-118.656638,WAT,271.0
393,Control Gorge,CA,37.437921,-118.556988,WAT,37.5
394,Cottonwood,CA,36.443421,-118.04389,WAT,0.8
396,Foothill,CA,34.318248,-118.494449,WAT,8.8
397,Franklin (CA),CA,34.103931,-118.413377,WAT,2.0
398,Haiwee,CA,36.109722,-117.956667,WAT,2.8
401,Middle Gorge,CA,37.51,-118.569167,WAT,37.5
402,Pleasant Valley Hydro,CA,37.41416,-118.523889,WAT,3.2
403,San Fernando,CA,34.312778,-118.492778,WAT,2.8
407,Upper Gorge,CA,37.546036,-118.590001,WAT,37.5
409,Exchequer,CA,37.584345,-120.26859,WAT,94.5
410,McSwain,CA,37.522065,-120.31009,WAT,9.0
412,Chicago Park,CA,39.177903,-120.890856,WAT,44.0
413,Dutch Flat 2,CA,39.2184,-120.8352,WAT,27.3
414,Beardsley,CA,38.202569,-120.076983,WAT,10.0
415,Donnells,CA,38.246656,-120.034072,WAT,72.0
416,Tulloch,CA,37.876111,-120.605,WAT,11.7
417,Forbestown,CA,39.551012,-121.278784,WAT,41.9
418,Kelly Ridge,CA,39.531784,-121.491247,WAT,10.0
419,Woodleaf,CA,39.553811,-121.204077,WAT,67.2
424,French Meadows,CA,39.077971,-120.406069,WAT,15.3
425,Middle Fork,CA,39.024801,-120.596383,WAT,61.2
426,Oxbow (CA),CA,39.003372,-120.746651,WAT,6.1
427,Ralston,CA,39.000999,-120.725053,WAT,79.2
428,Parker,CA,37.477838,-120.444492,WAT,2.7
430,Camino,CA,38.82881,-120.537089,WAT,78.9
431,Jaybird,CA,38.83405,-120.53176,WAT,80.8
